week,player_id,pts_proj,rel_proj,franchise_name,full_name,age,years_exp,weight,height,team,position,taxi,starters,players,fantasy_positions,depth_chart_order,depth_chart_position,status,injury_status,injury_notes,injury_start_date,practice_participation,practice_description,active
11.0,6904,370.96000000000004,166.66000000000003,Croccity Body Snatchers,Jalen Hurts,25.0,3.0,223.0,73,PHI,QB,,True,True,['QB'],1.0,QB,Active,,,,,,True
8.0,4663,280.61,158.955,Croccity Body Snatchers,Austin Ekeler,28.0,6.0,200.0,70,LAC,RB,,True,True,['RB'],1.0,RB,Active,,,,,,True
7.0,5850,249.05,127.09,Croccity Body Snatchers,Josh Jacobs,25.0,4.0,223.0,70,LV,RB,,True,True,['RB'],1.0,RB,Active,,,,,,True
5.0,4018,231.825,109.4,Croccity Body Snatchers,Joe Mixon,27.0,6.0,220.0,73,CIN,RB,,True,True,['RB'],1.0,RB,Active,,,,,,True
13.0,4510,225.46000000000004,105.34500000000003,,Najee Harris,27.0,4.0,225.0,"6'2""",,RB,,,,['LB'],,,Active,,,,,,False
11.0,8183,241.94,37.73999999999999,Croccity Body Snatchers,Brock Purdy,23.0,1.0,220.0,73,SF,QB,,True,True,['QB'],1.0,QB,Active,,,,,,True
7.0,4634,218.315,87.9,,Kenneth Walker,27.0,5.0,190.0,70,,WR,,,,['WR'],,,Active,,,,,,False
14.0,5892,200.73,79.565,Croccity Body Snatchers,David Montgomery,26.0,4.0,224.0,71,DET,RB,,True,True,['RB'],1.0,RB,Active,,,,,,True
17.0,1535,180.975,60.175,,Cordarrelle Patterson,32.0,10.0,220.0,74,ATL,RB,,,,['RB'],1.0,KR,Active,Questionable,,,,,True
16.0,5849,133.67,-19.150000000000006,Croccity Body Snatchers,Kyler Murray,26.0,4.0,207.0,70,ARI,QB,,,True,['QB'],,,Active,PUP,Surgery,,,,True
13.0,4037,169.255,38.84,Croccity Body Snatchers,Chris Godwin,27.0,6.0,209.0,73,TB,WR,,True,True,['WR'],1.0,SWR,Active,,,,,,True
3.0,2374,167.185,36.769999999999996,Croccity Body Snatchers,Tyler Lockett,30.0,8.0,182.0,70,SEA,WR,,True,True,['WR'],1.0,RWR,Active,,,,,,True
16.0,6847,175.35500000000002,44.635000000000005,,Devin Duvernay,25.0,3.0,202.0,71,BAL,WR,,,,['WR'],1.0,KR,Active,,,,,,True
13.0,1945,170.85,43.739999999999995,Croccity Body Snatchers,Chris Boswell,32.0,9.0,185.0,74,PIT,PK,,,True,['K'],1.0,K,Active,,,,,,True
4.0,5848,172.875,42.93000000000001,Croccity Body Snatchers,Marquise Brown,26.0,4.0,180.0,69,ARI,WR,,True,True,['WR'],1.0,LWR,Active,,,,,,True
17.0,4198,164.59,34.504999999999995,,Jamal Agnew,28.0,6.0,190.0,70,JAX,WR,,,,['WR'],1.0,KR,Active,,,,,,True
15.0,5086,162.725,32.379999999999995,,Marquez Valdes-Scantling,28.0,5.0,206.0,76,KC,WR,,,,['WR'],1.0,LWR,Active,,,,,,True
5.0,WAS,108.81890000000001,75.9479,Croccity Body Snatchers,WAS,,,,,WAS,DEF,,,True,['DEF'],,,,,,,,,True
5.0,8676,163.71,33.55,,Rashid Shaheed,25.0,1.0,180.0,72,NO,WR,,,,['WR'],1.0,SWR,Active,Questionable,,,,,True
13.0,4666,158.85000000000002,31.44000000000001,Croccity Body Snatchers,Younghoe Koo,29.0,6.0,185.0,69,ATL,PK,,True,True,['K'],1.0,K,Active,,,,,,True
13.0,748,153.15,22.735,,Mike Williams,31.0,9.0,212.0,"6'1""",,WR,,,,['WR'],,,Inactive,,,,,,False
18.0,10955,154.5,27.08999999999999,,Chad Ryland,23.0,0.0,195.0,72,NE,PK,,,,['K'],1.0,K,Active,,,,,,True
7.0,17,156.70000000000002,29.990000000000006,,Matt Prater,39.0,17.0,201.0,70,ARI,PK,,,,['K'],1.0,K,Active,,,,,,True
9.0,8259,150.51999999999998,23.31999999999997,Croccity Body Snatchers,Cameron Dicker,23.0,1.0,216.0,73,LAC,PK,True,,True,['K'],1.0,K,Active,,,,,,True
6.0,5121,148.42000000000002,18.075000000000003,,Braxton Berrios,27.0,5.0,185.0,69,MIA,WR,,,,['WR'],1.0,KR,Active,,,,,,True
16.0,4111,136.22500000000002,14.265000000000013,,D'Onta Foreman,27.0,6.0,235.0,72,CHI,RB,,,,['RB'],2.0,RB,Active,,,,,,True
7.0,6931,144.04999999999998,22.394999999999996,,DeeJay Dallas,24.0,3.0,214.0,70,SEA,RB,,,,['RB'],1.0,KR,Active,,,,,,True
4.0,DEN,83.78840000000001,50.2615,Croccity Body Snatchers,DEN,,,,,DEN,DEF,,True,True,['DEF'],,,,,,,,,True
17.0,5122,141.035,19.785,,Boston Scott,28.0,5.0,203.0,66,PHI,RB,,,,['RB'],1.0,KR,Active,,,,,,True
10.0,8255,141.56,19.135000000000005,,Raheem Blackshear,24.0,1.0,190.0,69,CAR,RB,,,,['RB'],1.0,KR,Active,,,,,,True
13.0,8253,140.75,10.334999999999997,,Deven Thompkins,23.0,1.0,155.0,68,TB,WR,,,,['WR'],1.0,KR,Active,,,,,,True
17.0,4080,124.92000000000002,-5.164999999999987,Croccity Body Snatchers,Zay Jones,28.0,6.0,200.0,74,JAX,WR,,,True,['WR'],1.0,RWR,Active,,,,,,True
5.0,3634,138.775,8.689999999999998,,Kalif Raymond,29.0,7.0,180.0,68,DET,WR,,,,['WR'],1.0,KR,Active,,,,,,True
4.0,5970,139.24,9.294999999999991,,Greg Dortch,25.0,4.0,175.0,67,ARI,WR,,,,['WR'],1.0,KR,Active,,,,,,True
6.0,2750,131.875,1.1550000000000065,,DeAndre Carter,30.0,8.0,190.0,68,LV,WR,,,,['WR'],1.0,KR,Active,,,,,,True
10.0,650,127.55,-0.20999999999999996,,Nick Folk,38.0,16.0,225.0,73,TEN,PK,,,,['K'],1.0,K,Active,,,,,,True
17.0,1348,132.45,5.249999999999988,Croccity Body Snatchers,Dustin Hopkins,32.0,10.0,193.0,74,CLE,PK,,True,True,['K'],1.0,K,Active,,,,,,True
18.0,5185,126.32100000000003,-3.928999999999986,Croccity Body Snatchers,Allen Lazard,27.0,5.0,227.0,77,NYJ,WR,,,True,['WR'],1.0,LWR,Active,Questionable,,,,,True
9.0,4082,108.99000000000001,-20.954999999999995,,Curtis Samuel,27.0,6.0,195.0,71,WAS,WR,,,,['WR'],1.0,SWR,Active,,,,,,True
4.0,7066,111.2,-19.52,Croccity Body Snatchers,K.J. Osborn,26.0,3.0,203.0,71,MIN,WR,,,True,['WR'],1.0,SWR,Active,,,,,,True
17.0,11058,107.55000000000001,-19.859999999999996,,Blake Grupe,24.0,0.0,156.0,67,NO,PK,,,,['K'],1.0,K,Active,,,,,,True
13.0,10234,113.3,-17.11500000000001,,Derius Davis,22.0,0.0,165.0,68,LAC,WR,,,,['WR'],1.0,KR,Active,,,,,,True
12.0,6149,105.72200000000001,-24.997999999999994,,Darius Slayton,26.0,4.0,194.0,73,NYG,WR,,,,['WR'],1.0,RWR,Active,,,,,,True
4.0,2319,112.47500000000001,-17.685,,DeVante Parker,30.0,8.0,215.0,75,NE,WR,,,,['WR'],1.0,RWR,Active,Questionable,,,,,True
15.0,8254,106.41,-16.015,,Julius Chestnut,22.0,1.0,228.0,71,TEN,RB,,,,['RB'],1.0,KR,Active,,,,,,True
4.0,8917,107.8,-22.450000000000006,,KaVontae Turpin,27.0,1.0,153.0,69,DAL,WR,,,,['WR'],1.0,KR,Active,,,,,,True
6.0,SF,77.9938,44.466899999999995,Croccity Body Snatchers,SF,,,,,SF,DEF,,True,True,['DEF'],,,,,,,,,True
12.0,5880,98.35000000000002,-32.36999999999999,,Parris Campbell,26.0,4.0,208.0,72,NYG,WR,,,,['WR'],2.0,RWR,Active,,,,,,True
2.0,1476,90.58000000000001,-31.37999999999999,,Latavius Murray,33.0,10.0,230.0,75,BUF,RB,,,,['RB'],3.0,RB,Active,,,,,,True
5.0,8172,100.85,24.318999999999996,Croccity Body Snatchers,Greg Dulcich,23.0,1.0,245.0,76,DEN,TE,,True,True,['TE'],2.0,TE,Active,,,,,,True
13.0,7670,96.85600000000001,-33.559,Croccity Body Snatchers,Joshua Palmer,23.0,2.0,210.0,73,LAC,WR,,,True,['WR'],2.0,RWR,Active,,,,,,True
2.0,7529,99.24000000000001,-22.72,,Gary Brightwell,24.0,2.0,218.0,73,NYG,RB,,,,['RB'],1.0,KR,Active,Questionable,,,,,True
6.0,8150,95.255,-25.994999999999997,Croccity Body Snatchers,Kyren Williams,23.0,1.0,194.0,69,LAR,RB,True,,True,['RB'],2.0,RB,Active,,,,,,True
17.0,3271,94.72500000000001,18.494000000000003,Croccity Body Snatchers,Tyler Higbee,30.0,7.0,255.0,78,LAR,TE,,True,True,['TE'],1.0,TE,Active,,,,,,True
14.0,7607,88.045,-34.379999999999995,,Michael Carter,24.0,2.0,201.0,68,NYJ,RB,,,,['RB'],3.0,RB,Active,,,,,,True
3.0,7083,90.58,-114.30000000000001,,Tyler Huntley,25.0,3.0,204.0,73,BAL,QB,,,,['QB'],2.0,QB,Active,Questionable,,,,,True
8.0,7585,83.31,-121.88,,Davis Mills,24.0,2.0,225.0,76,HOU,QB,,,,['QB'],2.0,QB,Active,,,,,,True
13.0,1339,90.15,13.969,,Zach Ertz,32.0,10.0,250.0,77,ARI,TE,,,,['TE'],1.0,TE,Active,Questionable,Surgery,,,,True
15.0,4177,81.28,-48.88,,Mack Hollins,29.0,6.0,221.0,76,ATL,WR,,,,['WR'],1.0,RWR,Active,,,,,,True
18.0,3202,77.168,0.4029999999999996,,Austin Hooper,28.0,7.0,254.0,76,LV,TE,,,,['TE'],2.0,TE,Active,,,,,,True
7.0,2359,69.845,-52.114999999999995,,Ameer Abdullah,30.0,8.0,203.0,69,LV,RB,,,,['RB'],2.0,RB,Active,,,,,,True
10.0,4197,76.595,-53.565000000000005,,Isaiah McKenzie,28.0,6.0,173.0,68,IND,WR,,,,['WR'],1.0,SWR,Active,,,,,,True
5.0,6144,70.595,-51.83,,Trayveon Williams,25.0,4.0,206.0,68,CIN,RB,,,,['RB'],2.0,RB,Active,Questionable,,,,,True
17.0,6234,81.075,-49.644999999999996,,Deonte Harty,25.0,4.0,170.0,66,BUF,WR,,,,['WR'],1.0,KR,Active,,,,,,True
12.0,7496,73.36500000000001,-56.88499999999999,,Nick Westbrook-Ikhine,26.0,3.0,211.0,74,TEN,WR,,,,['WR'],1.0,SWR,Active,,,,,,True
8.0,7045,66.715,-54.94,,Joshua Kelley,25.0,3.0,212.0,71,LAC,RB,,,,['RB'],2.0,RB,Active,,,,,,True
12.0,5980,66.23,-55.73,,Myles Gaskin,26.0,4.0,200.0,70,MIN,RB,,,,['RB'],3.0,RB,Active,,,,,,True
3.0,6271,72.37,-57.97500000000001,,Olamide Zaccheaus,26.0,4.0,193.0,68,PHI,WR,,,,['WR'],1.0,SWR,Active,Questionable,,,,,True
14.0,3976,63.790000000000006,-140.1,,Mitch Trubisky,29.0,6.0,220.0,74,PIT,QB,,,,['QB'],2.0,QB,Active,,,,,,True
17.0,4973,61.550000000000004,-14.866000000000001,,Hayden Hurst,30.0,5.0,245.0,76,CAR,TE,,,,['TE'],1.0,TE,Active,,,,,,True
10.0,8223,66.19500000000001,-64.525,,Velus Jones,26.0,1.0,200.0,72,CHI,WR,,,,['WR'],1.0,KR,Active,,,,,,True
3.0,5008,67.351,-8.879999999999997,,Durham Smythe,28.0,5.0,246.0,78,MIA,TE,,,,['TE'],1.0,TE,Active,,,,,,True
9.0,7757,68.255,-62.09,,Ben Skowronek,26.0,2.0,224.0,75,LAR,WR,,,,['WR'],1.0,RWR,Active,,,,,,True
14.0,1992,60.795,-69.09,,Allen Robinson,30.0,9.0,220.0,74,PIT,WR,,,,['WR'],1.0,SWR,Active,,,,,,True
12.0,6996,54.940000000000005,-66.225,,JaMycal Hasty,26.0,3.0,205.0,68,JAX,RB,,,,['RB'],3.0,RB,Active,,,,,,True
7.0,5154,62.410000000000004,-68.31,,Trent Sherfield,27.0,5.0,205.0,73,BUF,WR,,,,['WR'],1.0,SWR,Active,,,,,,True
9.0,4454,65.35000000000001,-64.81,,Kendrick Bourne,28.0,6.0,205.0,73,NE,WR,,,,['WR'],1.0,SWR,Active,,,,,,True
16.0,7565,62.195,-68.055,,Terrace Marshall,23.0,2.0,200.0,74,CAR,WR,,,,['WR'],2.0,LWR,Active,Questionable,,,,,True
9.0,829,54.97,-150.22,,Andy Dalton,35.0,12.0,220.0,74,CAR,QB,,,,['QB'],2.0,QB,Active,,,,,,True
7.0,5985,57.75,-18.831,,Foster Moreau,26.0,4.0,250.0,76,NO,TE,,,,['TE'],4.0,TE,Active,,,,,,True
5.0,7049,59.87500000000001,-70.21,,Jauan Jennings,26.0,3.0,212.0,75,SF,WR,,,,['WR'],1.0,SWR,Active,,,,,,True
8.0,5995,52.045,-69.91499999999999,,Justice Hill,25.0,4.0,197.0,70,BAL,RB,,,,['RB'],2.0,KR,Active,,,,,,True
15.0,8116,51.285000000000004,-70.37,,Pierre Strong,24.0,1.0,215.0,71,CLE,RB,,,,['RB'],3.0,RB,Active,,,,,,True
15.0,10229,54.063,-76.28200000000001,Croccity Body Snatchers,Rashee Rice,23.0,0.0,203.0,74,KC,WR,,,True,['WR'],2.0,RWR,Active,,,,,,True
8.0,4234,52.535000000000004,-77.715,,Noah Brown,27.0,6.0,215.0,74,HOU,WR,,,,['WR'],1.0,SWR,Active,,,,,,True
12.0,3269,51.42,-78.83,,Chris Moore,30.0,7.0,200.0,73,TEN,WR,,,,['WR'],2.0,LWR,Active,,,,,,True
5.0,2152,47.34,-156.86,,Teddy Bridgewater,30.0,9.0,212.0,74,DET,QB,,,,['QB'],2.0,QB,Active,,,,,,True
13.0,6421,47.25,-83.16499999999999,,Jalen Guyton,26.0,4.0,212.0,73,LAC,WR,,,,['WR'],,,Active,PUP,,,,,True
13.0,8227,54.35000000000001,-22.066,,Teagan Quitoriano,23.0,1.0,259.0,78,HOU,TE,,,,['TE'],3.0,TE,Active,,,,,,True
11.0,4718,48.14,-74.285,,Dare Ogunbowale,29.0,6.0,205.0,71,HOU,RB,,,,['RB'],3.0,RB,Active,,,,,,True
8.0,7562,50.32,-80.025,,Tutu Atwell,23.0,2.0,165.0,69,LAR,WR,,,,['WR'],2.0,SWR,Active,,,,,,True
4.0,5695,50.425000000000004,-80.295,,Brandon Powell,27.0,5.0,181.0,68,MIN,WR,,,,['WR'],2.0,RWR,Active,,,,,,True
2.0,6885,46.09,-75.565,,Ke'Shawn Vaughn,26.0,3.0,214.0,70,TB,RB,,,,['RB'],4.0,RB,Active,,,,,,True
16.0,6814,50.38,-79.87,,Laviska Shenault,24.0,3.0,220.0,73,CAR,WR,,,,['WR'],2.0,RWR,Active,,,,,,True
5.0,2460,46.24,-30.176000000000002,,C.J. Uzomah,30.0,8.0,271.0,77,NYJ,TE,,,,['TE'],2.0,TE,Active,,,,,,True
14.0,5026,46.33,-83.83,,Tre'Quan Smith,27.0,5.0,210.0,74,NO,WR,,,,['WR'],2.0,SWR,Active,Doubtful,,,,,True
2.0,6886,46.235,-84.48500000000001,,Chase Claypool,25.0,3.0,238.0,76,CHI,WR,,,,['WR'],1.0,RWR,Active,Questionable,,,,,True
15.0,7891,41.1,-35.431,,Brock Wright,24.0,2.0,250.0,77,DET,TE,,,,['TE'],2.0,TE,Active,,,,,,True
16.0,4993,38.150000000000006,-38.431000000000004,Croccity Body Snatchers,Mike Gesicki,27.0,5.0,245.0,78,NE,TE,,,True,['TE'],2.0,TE,Active,Questionable,,,,,True
4.0,8408,44.285000000000004,-76.88,,Jordan Mason,24.0,1.0,223.0,71,SF,RB,,,,['RB'],3.0,RB,Active,Questionable,,,,,True
4.0,4144,47.556000000000004,-29.025000000000002,,Jonnu Smith,28.0,6.0,248.0,75,ATL,TE,,,,['TE'],3.0,TE,Active,,,,,,True
17.0,5010,48.575,-27.906000000000002,,Will Dissly,27.0,5.0,265.0,76,SEA,TE,,,,['TE'],2.0,TE,Active,,,,,,True
9.0,2307,50.38,-153.92000000000002,,Marcus Mariota,29.0,8.0,222.0,76,PHI,QB,,,,['QB'],2.0,QB,Active,,,,,,True
8.0,8225,46.145,-30.620000000000005,Croccity Body Snatchers,Daniel Bellinger,22.0,1.0,253.0,77,NYG,TE,True,,True,['TE'],2.0,TE,Active,,,,,,True
9.0,7751,44.855000000000004,-85.09,,Dax Milne,24.0,2.0,190.0,73,WAS,WR,,,,['WR'],1.0,PR,Active,Questionable,,,,,True
8.0,6598,47.025000000000006,-83.225,,Trenton Irwin,27.0,4.0,200.0,74,CIN,WR,,,,['WR'],2.0,LWR,Active,,,,,,True
6.0,1346,46.65,-83.765,,Marquise Goodwin,32.0,10.0,185.0,69,CLE,WR,,,,['WR'],2.0,LWR,Active,,,,,,True
18.0,5323,46.045,-84.67500000000001,,Equanimeous St. Brown,26.0,5.0,214.0,77,CHI,WR,,,,['WR'],2.0,SWR,Active,,,,,,True
18.0,3286,46.52,-83.825,,Demarcus Robinson,28.0,7.0,203.0,73,LAR,WR,,,,['WR'],2.0,LWR,Active,,,,,,True
11.0,8117,43.725,-86.525,,Jalen Tolbert,24.0,1.0,195.0,73,DAL,WR,,,,['WR'],2.0,RWR,Active,,,,,,True
16.0,3901,42.355000000000004,-78.81,,Brandon Johnson,25.0,0.0,228.0,"6'2""",,RB,,,,['RB'],,,Inactive,,,,,,False
16.0,8756,42.355000000000004,-87.73,,Brandon Johnson,25.0,1.0,195.0,74,DEN,WR,,,,['WR'],2.0,RWR,Active,,,,,,True
2.0,2306,41.9,-162.65,,Jameis Winston,29.0,8.0,231.0,76,NO,QB,,,,['QB'],2.0,QB,Active,Questionable,,,,,True
2.0,7716,42.63,-33.551,,John Bates,25.0,2.0,259.0,78,WAS,TE,,,,['TE'],2.0,TE,Active,,,,,,True
5.0,7794,40.19,-82.235,,Chris Evans,25.0,2.0,215.0,71,CIN,RB,,,,['RB'],1.0,KR,Active,,,,,,True
4.0,2446,41.650000000000006,-34.931000000000004,,MyCole Pruitt,31.0,8.0,245.0,74,ATL,TE,,,,['TE'],4.0,TE,Active,,,,,,True
6.0,4054,38.165,-38.416000000000004,,Mo Alie-Cox,29.0,6.0,267.0,77,IND,TE,,,,['TE'],1.0,TE,Active,,,,,,True
10.0,7204,39.59,-82.36999999999999,,Reggie Gilliam,26.0,3.0,244.0,72,BUF,RB,,,,['RB'],1.0,FB,Active,,,,,,True
